[INFO|TriggerIO.Base.Common.setLogLevel]: Log Level <ALL> 
[FINE|TriggerIO.Midi.DeviceMidi.importXml]: begin 
[FINE|TriggerIO.Midi.DeviceMidi.importXml]: before parse 
[FINE|TriggerIO.Base.DeviceAbstract.setDevice]: begin 
[FINE|TriggerIO.Base.DeviceAbstract.setDevice]: kitNodes.length<21> 
[FINEST|TriggerIO.Base.Kit.setKitNumber]: kitNumber<0> 
[FINEST|TriggerIO.Base.Kit.setKitName]: kitName<Kit-0> 
[FINEST|TriggerIO.Base.Kit.setProgramChange]: programChange<125> 
[FINE|TriggerIO.Base.Kit.setKit]: inputNodes.length <21> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<0> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<35> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<1> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<35> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<2> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<38> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<3> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<40> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<4> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<46> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<5> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<48> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<6> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<55> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<7> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<58> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<8> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<47> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<9> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<47> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<10> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<45> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<11> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<45> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<12> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<43> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<13> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<43> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<14> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<49> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<15> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<57> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<16> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<55> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<17> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<58> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<18> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<54> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<19> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<57> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<20> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<44> 
[FINE|TriggerIO.Base.DeviceAbstract.setDevice]: kits(i)<1>, i=<0> 
[FINEST|TriggerIO.Base.Kit.setKitNumber]: kitNumber<1> 
[FINEST|TriggerIO.Base.Kit.setKitName]: kitName<Kit-1> 
[FINEST|TriggerIO.Base.Kit.setProgramChange]: programChange<-1> 
[FINE|TriggerIO.Base.Kit.setKit]: inputNodes.length <21> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<0> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<35> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<1> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<35> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<2> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<38> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<3> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<37> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<4> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<46> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<5> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<35> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<6> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<51> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<7> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<53> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<8> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<50> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<9> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<35> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<10> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<48> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<11> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<35> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<12> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<45> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<13> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<35> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<14> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<49> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<15> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<35> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<16> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<55> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<17> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<35> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<18> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<52> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<19> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<35> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<20> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<44> 
[FINE|TriggerIO.Base.DeviceAbstract.setDevice]: kits(i)<2>, i=<1> 
[FINEST|TriggerIO.Base.Kit.setKitNumber]: kitNumber<2> 
[FINEST|TriggerIO.Base.Kit.setKitName]: kitName<Kit-2> 
[FINEST|TriggerIO.Base.Kit.setProgramChange]: programChange<-1> 
[FINE|TriggerIO.Base.Kit.setKit]: inputNodes.length <21> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<0> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<35> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<1> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<35> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<2> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<60> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<3> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<61> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<4> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<70> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<5> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<35> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<6> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<67> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<7> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<68> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<8> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<62> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<9> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<35> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<10> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<63> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<11> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<35> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<12> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<64> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<13> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<35> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<14> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<58> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<15> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<35> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<16> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<75> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<17> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<35> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<18> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<81> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<19> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<35> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<20> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<9> 
[FINEST|TriggerIO.Base.Input.setNote]: note<35> 
[FINE|TriggerIO.Base.DeviceAbstract.setDevice]: kits(i)<3>, i=<2> 
[FINEST|TriggerIO.Base.Kit.setKitNumber]: kitNumber<3> 
[FINEST|TriggerIO.Base.Kit.setKitName]: kitName<Kit-3> 
[FINEST|TriggerIO.Base.Kit.setProgramChange]: programChange<-1> 
[FINE|TriggerIO.Base.Kit.setKit]: inputNodes.length <21> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<0> 
[FINEST|TriggerIO.Base.Input.setChannel]: channel<0> 
[FINEST|TriggerIO.Base.Input.setNote]: note<60> 
[FINEST|TriggerIO.Base.Input.setinputNumber]: inputNumber<1> 
